Age,Attrition,BusinessTravel,,Department,DistanceFromHome,EducationField,EmployeeNumber,Gender,HourlyRate,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PercentSalaryHike,PerformanceRating,TotalWorkingYears,WorkLifeBalance rating ,YearsAtCompany,YearsSinceLastPromotion,satisfaction_level,salary,RetirementYear
51,0,Travel_Rarely,,Research & Development,6,Life Sciences,162,Male,51,5,Research Director,3,Single,19537,0,13,3,23,3,20,15,38%,low,2039
52,0,Travel_Rarely,,Research & Development,1,Life Sciences,259,Male,65,5,Manager,3,Married,19999,0,14,3,34,3,33,11,80%,medium,2030
42,0,Travel_Rarely,,Research & Development,4,Technical Degree,319,Male,58,5,Manager,4,Married,19232,0,11,3,22,3,22,11,11%,medium,2010
47,0,Travel_Rarely,,Research & Development,2,Medical,1443,Female,82,4,Research Director,3,Married,17169,0,19,3,26,4,20,5,72%,low,2009
46,0,Travel_Rarely,,Sales,3,Technical Degree,1863,Female,45,4,Sales Executive,1,Divorced,13225,0,12,3,25,3,19,2,37%,low,2040
48,0,Travel_Frequently,,Research & Development,22,Medical,1900,Female,58,4,Manager,4,Divorced,17174,0,11,3,24,3,22,4,41%,low,2018
59,0,Travel_Rarely,,Sales,25,Life Sciences,81,Female,99,3,Sales Executive,1,Single,7637,0,11,3,28,2,21,7,10%,low,2031
42,0,Travel_Rarely,,Sales,1,Life Sciences,387,Male,99,2,Sales Executive,3,Married,4907,0,25,4,20,3,20,11,92%,low,2009
41,0,Travel_Rarely,,Sales,2,Life Sciences,625,Female,91,4,Manager,1,Married,16595,0,16,3,22,3,18,11,89%,low,2014
41,0,Travel_Frequently,,Research & Development,9,Medical,999,Male,64,5,Research Director,3,Divorced,19419,0,17,3,21,4,18,0,42%,low,2022
41,0,Non-Travel,,Research & Development,7,Life Sciences,1035,Female,55,5,Research Director,3,Divorced,19973,0,22,4,21,3,21,5,45%,low,2014
